"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STATEFP","CD116FP","STCD"
"48867",116,"House",21504,71,11,"CA",100,NA,NA,"DESAULNIER, Mark James","D000623",1952,NA,-0.529,-0.361,-11.59434,0.98506,770,4,NA,-0.458,-0.54,"6",11,"CA-11"
"48868",116,"House",21506,71,31,"CA",100,NA,NA,"AGUILAR, Peter Rey","A000371",1979,NA,-0.291,0.136,-48.89535,0.9387,773,19,NA,-0.445,0.399,"6",31,"CA-31"
"48869",116,"House",21507,71,33,"CA",100,NA,NA,"LIEU, Ted","L000582",1969,NA,-0.371,-0.263,-24.84463,0.96707,742,8,NA,-0.596,-0.188,"6",33,"CA-33"
"48870",116,"House",21508,71,35,"CA",100,NA,NA,"TORRES, Norma Judith","T000474",1965,NA,-0.361,0.032,-32.60617,0.95843,768,12,NA,-0.393,0.067,"6",35,"CA-35"
"48871",116,"House",21703,71,44,"CA",100,NA,NA,"BARRAGÁN, Nanette Diaz","B001300",1976,NA,-0.513,0.046,-21.66925,0.97214,767,11,NA,-0.477,-0.524,"6",44,"CA-44"
"48872",116,"House",21709,71,24,"CA",100,NA,NA,"CARBAJAL, Salud","C001112",1964,NA,-0.301,0.143,-18.26378,0.97683,779,4,NA,-0.355,0.07,"6",24,"CA-24"
"48873",116,"House",21711,71,46,"CA",100,NA,NA,"CORREA, Jose Luis","C001110",1958,NA,-0.281,0.305,-59.07239,0.92578,766,27,NA,-0.336,0.166,"6",46,"CA-46"
"48874",116,"House",21728,71,17,"CA",100,NA,NA,"KHANNA, Rohit","K000389",1976,NA,-0.577,-0.257,-39.46225,0.95048,777,11,NA,-0.319,-0.624,"6",17,"CA-17"
"48875",116,"House",21740,71,20,"CA",100,NA,NA,"PANETTA, James Varni","P000613",1969,NA,-0.305,0.048,-37.44889,0.95306,779,15,NA,-0.303,0.231,"6",20,"CA-20"
"48876",116,"House",21754,71,34,"CA",100,NA,NA,"GOMEZ, Jimmy","G000585",1974,NA,-0.595,-0.087,-25.38508,0.96765,772,12,NA,-0.45,-0.442,"6",34,"CA-34"
"48877",116,"House",21907,71,39,"CA",100,NA,NA,"CISNEROS, Gil","C001123",1972,NA,-0.375,0.573,-48.11682,0.93995,777,16,NA,-0.375,0.576,"6",39,"CA-39"
"48878",116,"House",21909,71,21,"CA",100,NA,NA,"COX, TJ","C001124",1963,NA,-0.341,0.473,-48.3149,0.9391,769,14,NA,-0.34,0.475,"6",21,"CA-21"
"48879",116,"House",21930,71,10,"CA",100,NA,NA,"HARDER, Josh","H001090",1986,NA,-0.385,0.761,-62.10421,0.9227,772,16,NA,-0.385,0.765,"6",10,"CA-10"
"48880",116,"House",21932,71,25,"CA",100,NA,NA,"HILL, Katie","H001087",1987,NA,-0.306,0.114,-20.26703,0.96104,510,8,NA,-0.305,0.113,"6",25,"CA-25"
"48881",116,"House",21939,71,49,"CA",100,NA,NA,"LEVIN, Mike","L000593",1978,NA,-0.352,0.119,-20.48784,0.97404,779,7,NA,-0.351,0.117,"6",49,"CA-49"
"48882",116,"House",21954,71,45,"CA",100,NA,NA,"PORTER, Katie","P000618",1974,NA,-0.175,0.006,-97.88497,0.88004,766,41,NA,-0.174,0.006,"6",45,"CA-45"
"48883",116,"House",21960,71,48,"CA",100,NA,NA,"ROUDA, Harley","R000616",1961,NA,-0.333,0.554,-42.16094,0.94617,762,11,NA,-0.332,0.558,"6",48,"CA-48"
"48884",116,"House",21988,71,25,"CA",200,NA,NA,"GARCIA, Mike","G000061",1976,NA,0.432,0.434,-7.21594,0.92212,89,3,NA,0.456,0.662,"6",25,"CA-25"
"48885",116,"House",29106,71,43,"CA",100,NA,NA,"WATERS, Maxine","W000187",1938,NA,-0.653,-0.073,-54.21737,0.93209,771,18,NA,-0.594,0.371,"6",43,"CA-43"
"48886",116,"House",29312,71,18,"CA",100,NA,NA,"ESHOO, Anna Georges","E000215",1942,NA,-0.381,-0.427,-13.00803,0.98296,757,6,NA,-0.391,-0.233,"6",18,"CA-18"
"48887",116,"House",29317,71,40,"CA",100,NA,NA,"ROYBAL-ALLARD, Lucille","R000486",1941,NA,-0.47,-0.186,-15.19918,0.98028,763,6,NA,-0.396,-0.122,"6",40,"CA-40"
"48888",116,"House",29323,71,42,"CA",200,NA,NA,"CALVERT, Ken","C000059",1953,NA,0.349,0.22,-80.46733,0.90089,771,25,NA,0.32,0.532,"6",42,"CA-42"
"48889",116,"House",29504,71,19,"CA",100,NA,NA,"LOFGREN, Zoe","L000397",1947,NA,-0.402,-0.446,-30.54126,0.96046,757,10,NA,-0.438,-0.503,"6",19,"CA-19"
"48890",116,"House",29707,71,30,"CA",100,NA,NA,"SHERMAN, Brad","S000344",1954,NA,-0.342,-0.148,-20.64276,0.97334,764,11,NA,-0.454,0.063,"6",30,"CA-30"
"48891",116,"House",29778,71,13,"CA",100,NA,NA,"LEE, Barbara","L000551",1946,NA,-0.683,-0.588,-22.29255,0.97157,773,8,NA,-0.546,-0.793,"6",13,"CA-13"
"48892",116,"House",29901,71,5,"CA",100,NA,NA,"THOMPSON, Michael","T000460",1951,NA,-0.395,0.065,-37.07247,0.95251,762,18,NA,-0.442,0.417,"6",5,"CA-5"
"48893",116,"House",29903,71,32,"CA",100,NA,NA,"NAPOLITANO, Grace Flores","N000179",1936,NA,-0.448,-0.249,-17.77851,0.9772,771,9,NA,-0.476,-0.275,"6",32,"CA-32"
